TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Macoma obliqua,81040,Macoma,81033,,Macoma,81033,Macoma,81033,Macoma,81033,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey data available, a few prey for congeners but mostly low-resolution; a few species-specific predators"
Macoma optiva,no TSN,Macoma,81033,,Macoma,81033,Macoma,81033,Macoma,81033,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or pred data available, a few prey for congeners but mostly low-resolution; good predator data for this genus"
Macrocallista,81577,,dropped,Insufficient data for this genus; a few local genera within the family Veneridae have good data.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); no predator data available
Mactromeris albaria,no TSN,Mactromeris,80982,"There is a lot of predator overlap for the three local genera within the family Mactridae (includes Mactromeris, Spisula, and Tresus) - lumping would also be OK because each species on its own has only mediocre pred data (7-9 spp.). However, no predators would be gained by lumping and some genus-specific detail would be lost.",Mactromeris,80982,Mactromeris,80982,Mactromeris,80982,clam,Mollusca,bivalve,,OBISGBIF,done,A few low-resolution prey for congener M. polynyma; two predators listed for this genus
Mactromeris brevirostrata,no TSN,Mactromeris,80982,,Mactromeris,80982,Mactromeris,80982,Mactromeris,80982,clam,Mollusca,bivalve,,OBISGBIF,done,A few low-resolution prey for congener M. polynyma; two predators listed for this genus
Mactromeris catilliformis,567850,Mactromeris,80982,,Mactromeris,80982,Mactromeris,80982,Mactromeris,80982,clam,Mollusca,bivalve,,OBISGBIF,done,A few low-resolution prey for congener M. polynyma; two predators listed for this genus
Mactromeris polynyma,80983,Mactromeris,80982,,Mactromeris,80982,Mactromeris,80982,Mactromeris,80982,clam,Mollusca,bivalve,,OBISGBIF,done,A few species-specific low-resolution prey; two predators listed for this genus
Madracis,53007,,drop,Good data for this subclass.,,drop,,drop,,drop,anemone,Cnidaria,anemone,,OBISGBIF,done,A little prey data for a Jamaican species; no predator data available
Magelona cerae,67060,,drop,,,drop,,drop,,drop,worm,Annelida,polychaete,,OBISGBIF,done,Bivalve larvae only prey for this genus; some predator data for congener M. sacculata
Magelona sacculata,67059,,drop,,,drop,,drop,,drop,worm,Annelida,polychaete,,OBISGBIF,done,Bivalve larvae only prey for this genus; some species-specific predator data
Majidae,98417,Majidae,98417,Pretty good pred data; no prey data.,Majidae,98417,Majidae,98417,Majidae,98417,crab,Arthropoda,crab,,NOAA World Ocean Database,done,No prey data (need to search for genera/species in the database); good predator data
Malacoceros,66920,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,,OBISGBIF,done,Deposit feeder (sediment complex only prey listed); no predator data available
Malacocottus kincaidi,167304,Malacocottus,167303,,Malacocottus,167303,Malacocottus,167303,Malacocottus,167303,fish,Chordata,sculpin,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"No prey listed for this species, but fairly complete list for congener M. zonurus and sculpins in general; many predators of sculpins and cottids in general, none listed for this species"
Malacocottus zonurus,167305,Malacocottus,167303,"Although all prey data is for this species, lumping adds a few pred links",Malacocottus,167303,Malacocottus,167303,Malacocottus,167303,fish,Chordata,sculpin,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Fairly complete prey list; many predators of sculpins and cottids in general, few for this species"
Mallotus villosus,162035,Mallotus villosus,162035,,Mallotus villosus,162035,Mallotus villosus,162035,Mallotus villosus,162035,fish,Chordata,capelin,"Clupea villosa, Mallotus catervarius, Salmo catervarius, Salmo socialis","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey and predator coverage
Margarites beringensis,69895,Trochidae,69794,"Lumping to family adds a bunch of predators and prey; all common spp. in database are of similar size, and all species in this family are diatom and algae grazers.",Trochidae,69794,Trochidae,69794,Trochidae,69794,snail,Mollusca,gastropod,,OBISGBIF,done,"""Periphyton"" listed as prey for this genus; some predators listed for this genus"
Margarites peninsularis,no TSN,Trochidae,69794,,Trochidae,69794,Trochidae,69794,Trochidae,69794,snail,Mollusca,gastropod,,OBISGBIF,done,"""Periphyton"" listed as prey for this genus; some predators listed for this genus"
Margarites pupillus,69887,Trochidae,69794,,Trochidae,69794,Trochidae,69794,Trochidae,69794,snail,Mollusca,gastropod,,OBISGBIF,done,"""Periphyton"" listed as prey for this genus; several species-specific predators and some additional predators for congeners"
Mediomastus californiensis,67440,Capitellidae,67413,,Capitellidae,67413,Capitellidae,67413,Capitellidae,67413,worm,Annelida,polychaete,,OBISGBIF,done,"One species-specific prey entry (detritus), but some additional prey for congener M. fragilis; one predator listed for a congener"
Megalocottus platycephalus,167307,,dropped,No data.,,dropped,,dropped,,dropped,fish,Chordata,sculpin,,OBISGBIF,done,No data available
Megaptera novaeangliae,180530,Megaptera novaeangliae,180530,,Megaptera novaeangliae,180530,Megaptera novaeangliae,180530,Megaptera novaeangliae,180530,mammal,Chordata,whale,"Balaena allamack, Balaena atlanticus, Balaena boops, Balaena gibbosa, Balaena lalandii, Balaena longimana, Balaena nodosa, Balaena novaeangliae, Balaenoptera antarctica, Balaenoptera astrolabe, Balaenoptera australis, Balaenoptera capensis, Balaenoptera leucopteron, Balaenoptera syncondylus, Kyphobalaena keporkak, Megaptera americana, Megaptera antarctica, Megaptera australis, Megaptera bellicosa, Megaptera boops, Megaptera brasiliensis, Megaptera braziliensis, Megaptera burmeisteri, Megaptera gigas, Megaptera indica, Megaptera kuzira, Megaptera lalandii, Megaptera longimana, Megaptera longipinna, Megaptera nodosa, Megaptera novaezelandiae, Megaptera osphyia, Megaptera poescop, Megaptera versabilis, Poescopia lalandii, Rorqualus antarcticus, Rorqualus australis",OBISGBIF,done,Good prey data; few natural predators
Melamphaes lugubris,166094,Melamphaidae,166092,"Generally poor data for individual genera/species in this family, but OK data for bigscales when combined.",Melamphaidae,166092,Melamphaidae,166092,Melamphaidae,166092,fish,Chordata,fish,"Melamphaes cavernosus, Plectromus lugubris",OBISGBIF,done,No species-specific prey data but good data for congener M. danae; no predator data available for this genus
Merluccius productus,164792,Merluccius productus,164792,,Merluccius productus,164792,Merluccius productus,164792,Merluccius productus,164792,fish,Chordata,hake,"Homalopomus trowbridgii, Merlangus productus","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey and predator coverage
Mesenchytraeus maculatus,no TSN,Oligochaeta,68422,No prey data; most pred data is for oligochaeta.,Oligochaeta,68422,Oligochaeta,68422,Oligochaeta,68422,worm,Annelida,oligochaete,,OBISGBIF,done,No data available
Mesoplodon stejnegeri,180514,Mesoplodon,180506,"Lumping to genus probably OK - ""Marine Mammals of the World"" says that members of this genus are at least superficially similar and difficult to tell apart. Data suggests that they all eat mostly large nekton (esp. squids).",Mesoplodon,180506,Mesoplodon,180506,Mesoplodon,180506,mammal,Chordata,whale,"Mesoplodon bowdoini, Nodus stejnegeri",OBISGBIF,done,"Lots of info on prey of conspecifics, some data on this species; no species-specific predators available, but a few for congeners (probably few natural predators)"
Meterythrops robusta,90029,Mysida,89855,"Sad to lump this order, but too many links lost by splitting.",Mysida,89855,Mysida,89855,Mysida,89855,shrimp,Arthropoda,mysid,"Meterythrops robustus, Parerythrops robusta",OBISGBIF,done,No prey data; fair predator data
Metridia lucens,85741,Metridinidae,593501,Lumping to family adds a bunch of prey data for Pleuromamma; all species in this family are pelagic oceanic,,drop,Metridinidae,593501,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,Good prey data for congener (M. pacifica); some species-specific predator data and more for several congeners
Metridia pacifica,85748,Metridinidae,593501,Lumping to family adds a bunch of prey data for Pleuromamma; all species in this family are pelagic oceanic,,drop,Metridinidae,593501,,drop,copepod,Arthropoda,copepod,,OBISGBIF,done,Good prey and predator data
Microcladia,13080,Microcladia,13080,Mediocre grazer data,Microcladia,13080,Microcladia,13080,Microcladia,13080,red alga,Rhodophyta,seaweed,,Intertidal web,done,MBARI says some species in this genus occur subtidally.
Microcottus sellaris,167310,,dropped,No data.,,dropped,,dropped,,dropped,fish,Chordata,sculpin,"Acanthocottus sellaris, Myoxocephalus parvulus, Porocottus quadratus, Porocottus sellaris",OBISGBIF,done,No data available for this species or genus; some data for congeners of synonym Myoxocephalus parvulus
Microcotyle sebastis,55062,Microcotyle sebastis,55062,,Microcotyle sebastis,55062,Microcotyle sebastis,55062,Microcotyle sebastis,55062,worm,Platyhelminthes,parasitic monogenean,,"Moles, Heifetz, Love. 1998. Metazoan parasites as potential markers for selected Gulf of Alaska rockfishes. ",done,A few host entries for this species (may be a specialist on Sebastes spp.)
Microgadus proximus,164719,Microgadus,164718,Most prey data is for Atlantic tomcod (M. tomcod),Microgadus,164718,Microgadus,164718,Microgadus,164718,fish,Chordata,tomcod,"Gadus californicus, Gadus proximus, Morrhua californica","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"One species-specific prey and some additional prey for congener M. tomcod; fairly good predator data, more general data for congeners of synonym Gadus"
Microstomus bathybius,172866,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,sole,,OBISGBIF,done,No species-specific prey or predator data but great prey data and some predator data for congener M. pacificus
Microstomus pacificus,172887,Microstomus pacificus,172887,Nearly all relevant data for the genus is for this species.,Microstomus pacificus,172887,Microstomus pacificus,172887,Microstomus pacificus,172887,fish,Chordata,sole,Embassichthys bathybius,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Great prey data; some predators listed
Minuscula bipes,10209,,dropped,Insufficient data - other genera within this family are contributing data to the web.,Dinophyceae,9874,,dropped,Dinophyceae,9874,phytoplankton,Pyrrophycophyta,dinoflagellate,"Glenodinium bipes, Protoperidinium bipes, Peridinium minisculum",OBISGBIF,done,a small number of predator citations for synonym genus Peridinium
Minuspio cirrifera,67027,Spionidae,66781,,Spionidae,66781,Spionidae,66781,Spionidae,66781,worm,Annelida,polychaete,,OBISGBIF,done,Two prey entries (deposit feeder and planktivore); no predator data available
Miodontiscus prolongatus,80761,,dropped,Insufficient data for genus and family.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); no predator data available
Mirounga angustirostris,180672,Mirounga angustirostris,180672,,Mirounga angustirostris,180672,Mirounga angustirostris,180672,Mirounga angustirostris,180672,mammal,Chordata,seal,,OBISGBIF,done,Excellent prey data; probably few natural predators
Mizuhopecten mollerensis,no TSN,,dropped,No data.,,dropped,,dropped,,dropped,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); no predator data available
Modiolus harrimani,no TSN,Modiolus,79500,"Good pred data, a few high resolution prey entries.",Modiolus,79500,Modiolus,79500,Modiolus,79500,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); no species-specific predator data but some predators for this genus
Molgula griffithsii,159542,Molgulidae,159540,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Molgulidae,159540,,drop,tunicate,Chordata,tunicate,"Caesira crystallina, Caesira intumescens, Clavelina chrystallina, Cynthia chrystallina, Cystingia griffithsi, Molgula chrystallina, Molgula crystallina, Molgula griffithsi, Molgula pellucida, Pera crystallina, Pera pellucida",OBISGBIF,done,One species-specific prey entry (plankton); a few additional predators and prey for congeners
Molgula oregonia,159553,Molgulidae,159540,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Molgulidae,159540,,drop,tunicate,Chordata,tunicate,,OBISGBIF,done,One species-specific prey entry (plankton); a few additional predators and prey for congeners
Monaxonida,no TSN,Porifera,46861,"very little data for this taxon; majority of sponge pred data is for ""porifera""; dropped to include Halichondria, Haliclona, Ophlitaspongia, for which there are decent data, in intertidal web",,drop,,drop,,drop,sponge,Porifera,sponge,,OBISGBIF,done,One prey entry (plankton); no predator data available
Monodon monoceros,180485,Monodon monoceros,180485,,Monodon monoceros,180485,Monodon monoceros,180485,Monodon monoceros,180485,mammal,Chordata,whale,"Ceratodon monodon, Ceratodontis ceratodon, Monodon microcephalus, Monodon narhval, Monodon narhwal, Narwalus andersonianus, Narwalus microcephalus, Narwalus vulgaris, Tachynices megacephalus",OBISGBIF,done,"Fairly good prey data; only orcas listed as predators, but probably few predators in nature"
Monostroma,6481,,dropped,Insufficient data (only 3 grazers).,,dropped,,dropped,,dropped,green alga,Chlorophyta,seaweed,,Intertidal web,done,"This genus occurs both intertidally and subtidally, with some FW species."
Moroteuthis robusta,82438,Moroteuthis,82437,"Most data is for southern hemisphere congeners, but some will translate to northern latitudes.",Moroteuthis,82437,Moroteuthis,82437,Moroteuthis,82437,squid,Mollusca,squid,,OBISGBIF,done,"No species-specific prey data, but good data for congener M. ingens; some species-specific predator data and additional data for this genus"
Musculus niger,79473,Musculus,79472,OK pred data for the genus.,Musculus,79472,Musculus,79472,Musculus,79472,bivalve,Mollusca,bivalve,,OBISGBIF,done,One prey entry (plankton); some predator data for this species
Mya elegans,81696,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or predator data, but a few prey for congener M. arenaria and good predator data for several congeners"
Mya grewingki,no TSN,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or predator data, but a few prey for congener M. arenaria and good predator data for several congeners"
Mya profundior,81699,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or predator data, but a few prey for congener M. arenaria and good predator data for several congeners"
Mya pseudoarena,81693,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or predator data, but a few prey for congener M. arenaria and good predator data for several congeners"
Mya truncata,81694,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey data, but a few prey for congener M. arenaria; good predator data for this species and several congeners"
Mya uzenensis,81698,Mya,81691,Lumping to genus captures maximum pred data.,Mya,81691,Mya,81691,Mya,81691,clam,Mollusca,bivalve,,OBISGBIF,done,"No species-specific prey or predator data, but a few prey for congener M. arenaria and good predator data for several congeners"
Myoxocephalus jaok,167312,Myoxocephalus,167311,"Although a few species have good prey data, the pred data is scattered throughout many spp. in the genus. There are a few ""weird"" species of Myoxocephalus (M. niger is very small), but for the most part those with data are similar in size and they are all benthic feeders.",Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,"Cottus humilis, Cottus jaok","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"Excellent prey data; poor species-specific predator data, but some predator data for the genus"
Myoxocephalus niger,167314,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,Cottus niger,OBISGBIF,done,"No species-specific prey or pred data, but excellent data for several congeners"
Myoxocephalus polyacanthocephalus,167315,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,"Cottus polyacanthocephalus, Myoxocephalus ensiger","Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Excellent prey data; fairly good species-specific predator data and some additional data within the genus
Myoxocephalus scorpioides,167317,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,"Boreocottus axillaris, Cottus axillaris, Cottus scorpiodes, Myoxocephalus axillaris",OBISGBIF,done,"No species-specific prey data, but excellent data for several congeners; poor species-specific predator data, but some predator data for the genus"
Myoxocephalus scorpius,167318,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,"Acanthocottus scorpius, Cottus groenlandicus, Cottus scorpius",OBISGBIF,done,"Good prey data; poor species-specific predator data, but some predator data for the genus"
Myoxocephalus stelleri,167319,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,Cottus decastrensis,OBISGBIF,done,"No species-specific prey data, but excellent data for several congeners; poor species-specific predator data, but some predator data for the genus"
Myoxocephalus verrucosus,167322,Myoxocephalus,167311,,Myoxocephalus,167311,Myoxocephalus,167311,Myoxocephalus,167311,fish,Chordata,sculpin,Cottus verrucosus,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,"No species-specific prey data, but excellent data for several congeners; poor species-specific predator data, but some predator data for the genus"
Myriochele oculata,67652,Oweniidae,67644,,Oweniidae,67644,Oweniidae,67644,Oweniidae,67644,worm,Annelida,polychaete,,OBISGBIF,done,No prey data; one species-specific predator and one additional predator for this genus
Myriozoum subgracile,156602,Gymnolaemata,155471,Very little genus- or species-specific marine bryozoan data.,Gymnolaemata,155471,Gymnolaemata,155471,Gymnolaemata,155471,bryozoan,Ectoprocta,bryozoan,,OBISGBIF,done,One prey entry (plankton); no predator data available
Mytilus edulis,79454,Mytilus,79452,"Good data for this species, but lots of predators are added by lumping and members of this genus are ecologically very similar.",Mytilus,79452,Mytilus,79452,Mytilus,79452,bivalve,Mollusca,bivalve,,OBISGBIF,done,Good predator and prey data - I didn't do much searching for Mytilus because I'm guessing it was already done when the intertidal food web was constructed
Mytilus gratacapi,no TSN,Mytilus,79452,,Mytilus,79452,Mytilus,79452,Mytilus,79452,bivalve,Mollusca,bivalve,,OBISGBIF,done,"Good predator and prey data for several congeners - I didn't do much searching for Mytilus because I'm guessing it was already done when the intertidal food web was constructed
"
Mytilus middendorffi,no TSN,Mytilus,79452,,Mytilus,79452,Mytilus,79452,Mytilus,79452,bivalve,Mollusca,bivalve,,OBISGBIF,done,"Good predator and prey data for several congeners - I didn't do much searching for Mytilus because I'm guessing it was already done when the intertidal food web was constructed
"
Nannobrachium regale,623744,,dropped,No pred data available.,,dropped,,dropped,,dropped,fish,Chordata,lampfish,"Lampanyctus micropunctatus, Lampanyctus regalis, Myctophum regale, Nannobrachium regalis",OBISGBIF,done,Some prey data and one predator for a congener (bathypelagic fish)
Nannocalanus minor,85275,,dropped,Only a few local predators and no prey data.,,drop,,dropped,,drop,copepod,Arthropoda,copepod,"Calanus minor, Canthocalanus minor, Cetochilus minor",OBISGBIF,done,No prey data available for this genus; fair predator data; lots of additional pred and prey data for congeners of synonym Calanus
Narella abyssalis,no TSN,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Narella arbuscula,no TSN,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Narella bayeri,no TSN,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Narella cristata,no TSN,Octocorallia,52004,Good data for this subclass.,Octocorallia,52004,Octocorallia,52004,Octocorallia,52004,octocoral,Cnidaria,anemone,,OBISGBIF,done,One prey entry (plankton); no predator data available
Nautichthys oculofasciatus,167329,,dropped,Insufficient data; only genus with good data in this family is Hemitripterus (already in web) and lumping to family would add only one predator.,,dropped,,dropped,,dropped,fish,Chordata,sculpin,Blepsias oculofasciatus,OBISGBIF,done,No data available
Nautichthys pribilovius,167330,,dropped,,,dropped,,dropped,,dropped,fish,Chordata,sculpin,Nautiscus pribilovius,OBISGBIF,done,No data available
Navicula pelagica,3675,Navicula,3649,,Bacillariophyta,2286,Navicula,3649,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,,OBISGBIF,done,"No species-specific predators, but good data for several congeners"
Navicula vanhoeffenii,3695,Navicula,3649,,Bacillariophyta,2286,Navicula,3649,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,,OBISGBIF,done,"No species-specific predators, but good data for several congeners"
Nectoliparis pelagicus,167591,,dropped,"Insufficient data, other local genera have good data.",,dropped,,dropped,,dropped,fish,Chordata,snailfish,,OBISGBIF,done,No prey and two predators
Neobrachiella robusta,89379,Neobrachiella robusta,89379,,,drop,Neobrachiella robusta,89379,,drop,copepod,Arthropoda,parasitic copepod,Parabrachiella robusta,"Moles, Heifetz, Love. 1998. Metazoan parasites as potential markers for selected Gulf of Alaska rockfishes. ",done,Some host entries for this species; a few additional entries for a congener of synonym Parabrachiella
Neocalanus cristatus,667083,Neocalanus cristatus,667083,,,drop,Neocalanus cristatus,667083,,drop,copepod,Arthropoda,copepod,Calanus cristatus,OBISGBIF,done,good predator and prey coverage
Neocalanus plumchrus,667085,Neocalanus plumchrus,667085,,,drop,Neocalanus plumchrus,667085,,drop,copepod,Arthropoda,copepod,Calanus plumchrus,OBISGBIF,done,good predator and prey coverage
Neodenticula seminae,610097,Bacillariaceae,572758,"Lumping to family adds Pseudo-nitzschia, Fragilariopsis data",Bacillariophyta,2286,Bacillariaceae,572758,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,,OBISGBIF,done,No data available
Neomysis rayii,90061,Mysida,89855,"Sad to lump this order, but too many ""Mysida"" pred links lost by splitting.",Mysida,89855,Mysida,89855,Mysida,89855,shrimp,Arthropoda,mysid,"Mysis rayii, Neomysis franciscana, Neomysis franciscorum, Neomysis toion","Gibson, Atkinson, Gordon. Oceanography and Marine Biology: An Annual Review",done,"No species specific prey data, but excellent data for several congeners; fair species-specific predator data and lots of additional predator data fro congeners"
Nephtys caeca,66014,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,"Nephthys caeca, Nephthys hirsuta, Nephthys ingens, Nephthys margaritacea, Nephthys oerstedii, Nephtys bononensis, Nereis lineata, Nereis caeca",OBISGBIF,done,Some species-specific prey data and more for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys ciliata,66013,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,"Nephthys ciliata, Nephthys nudipes, Nephtys borealis, Nereis ciliata",OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys ferruginea,66024,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,Nephthys ferruginea,OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys longosetosa,66022,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,"Nephthys emarginata, Nephthys johnstoni, Nephthys longosetosa, Portelia rosea",OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys punctata,66018,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,Nephthys punctata,OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys rickettsi,66019,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,,OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Nephtys schmitti,66020,Nephtyidae,66010,,Nephtyidae,66010,Nephtyidae,66010,Nephtyidae,66010,worm,Annelida,polychaete,Nephthys schmitti,OBISGBIF,done,No species-specific prey data but some data for several congeners; no species-specific predator data but good predator data for several congeners
Neptunea lyrata,73977,Buccinidae,73726,"Lumping to family adds a bunch of pred and prey data, although some detail is lost from the genera Buccinum and Neptunea. All true whelks are carnivores and scavengers, and most common spp. in database are similar in size.",Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Some species-specific prey data and additional data for several congeners; some limited predator data for this genus
Neptunea modesta,no TSN,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,No species-specific prey data but data for several congeners; some limited predator data for this genus
Neptunea plafkeri,no TSN,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,No species-specific prey data but data for several congeners; some limited predator data for this genus
Neptunea pribilofensis,73990,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Some species-specific prey data and additional data for several congeners; some limited predator data for this genus
Neptunea ventricosa,73986,Buccinidae,73726,,Buccinidae,73726,Buccinidae,73726,Buccinidae,73726,whelk,Mollusca,gastropod,,OBISGBIF,done,Some species-specific prey data and additional data for several congeners; some limited predator data for this genus
Nereis,65902,Nereididae,65870,,Nereididae,65870,Nereididae,65870,Nereididae,65870,worm,Annelida,polychaete,,OBISGBIF,done,Good predator and prey data for this genus
Nereocystis luetkeana,11277,Nereocystis luetkeana,11277,Mediocre grazer data.,Nereocystis luetkeana,11277,Nereocystis luetkeana,11277,Nereocystis luetkeana,11277,brown alga,Phaeophyta,seaweed,,Intertidal web,done,Subtidal kelp.
Nicolea zostericola,67937,Terebellidae,67899,,Terebellidae,67899,Terebellidae,67899,Terebellidae,67899,worm,Annelida,polychaete,"Nicolea simplex, Terebella longicornis, Terebella textrix, Terebella zostericola",OBISGBIF,done,One prey entry (deposit feeder); no predator data available but one predator for congener of synonym Terebella spp.
Nitzschia delicatissima,5077,Bacillariaceae,572758,"Lumping to family adds Pseudo-nitzschia, Fragilariopsis data",Bacillariophyta,2286,Bacillariaceae,572758,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Pseudo-nitzschia delicatissima,NOAA World Ocean Database,done,"Fair species-specific predator coverage, but good predator coverage for this genus"
Nitzschia seriata,5093,Bacillariaceae,572758,"Lumping to family adds Pseudo-nitzschia, Fragilariopsis data",Bacillariophyta,2286,Bacillariaceae,572758,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,Pseudo-nitzschia seriata,OBISGBIF,done,"Poor species specific predator coverage, but good predator coverage for this genus"
Notomastus lineatus,67426,Capitellidae,67413,,Capitellidae,67413,Capitellidae,67413,Capitellidae,67413,worm,Annelida,polychaete,Notomastus sarsii,OBISGBIF,done,A little low-resolution prey data (mostly detritus); no species-specific predators but some for congeners
Nucella emarginata ,73295,Nucella emarginata ,73295,Lumping to genus adds a bunch of prey and pred data; all species in this genus are predators.,Nucella emarginata ,73295,Nucella emarginata ,73295,Nucella emarginata ,73295,whelk,Mollusca,gastropod,,OBISGBIF,done,good species-specific prey and predator data
Nucella lamellosa,73294,Nucella lamellosa,73294,Most data for this genus is for non-local species.,Nucella lamellosa,73294,Nucella lamellosa,73294,Nucella lamellosa,73294,whelk,Mollusca,gastropod,Thais lamellosa Thais plicata,OBISGBIF,done,good species-specific prey and predator data (also for N. lamellosa)
