TaxonName_org,TaxonTSN_org,TaxonName_nsOnly,TaxonTSN_nsOnly,TaxonNotes_nsOnly,TaxonName_nsOnly_intres,TaxonTSN_nsOnly_intres,TaxonName_nsNint_maxres,TaxonTSN_nsNint_maxres,TaxonName_nsNint_intres,TaxonTSN_nsNint_intres,SpecSSPGroup,Phylum/Division,CommonName,Synonyms,Citation,DataEntryStatus,DataEntryNotes
Dasycottus setiger,167265,Dasycottus setiger,167265,All data for this genus is species-specific,Dasycottus setiger,167265,Dasycottus setiger,167265,Dasycottus setiger,167265,fish,Chordata,sculpin,,"Allen, Smith. 1988. Atlas and zoogeography of common fishes in the Bering Sea and Northeastern Pacific. NOAA Technical Report.",done,Good prey data; some species-specific predators and lots for sculpins and cottids in general
Decamastus gracilis,67445,Capitellidae,67413,,Capitellidae,67413,Capitellidae,67413,Capitellidae,67413,worm,Annelida,polychaete,,OBISGBIF,done,One prey entry (deposit feeder); one predator listed
Dendrodoa aggregata,159276,,drop,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,,drop,,drop,tunicate,Chordata,tunicate,"Ascidia aggregata, Ascidia tuberculum, Cynthia aggregata, Dendrodoa cylindrica, Dentrodoa glandularia, Dendrodoa subpedunculata, Dendrodoa tuberculata, Styela arctica",OBISGBIF,done,One prey entry (plankton); a few predators; some additional data for congeners of synonyms 
Dentalium schencki,no TSN,Scaphopoda,82115,All scaphopods are benthic micro-predators and scavengers.,Scaphopoda,82115,Scaphopoda,82115,Scaphopoda,82115,scaphopod,Mollusca,scaphopod,,OBISGBIF,done,No prey data available; no species-specific predator data but a few predator entries for this genus
Dermaturus mandtii,97927,,dropped,No prey and little pred data for this genus; Lithodidae has several data-rich genera.,,dropped,,dropped,,dropped,crab,Arthropoda,crab,,OBISGBIF,done,No prey and three predators listed
Derogenes varicus,55768,Derogenes varicus,55768,All host data for this genus is species-specific.,Derogenes varicus,55768,Derogenes varicus,55768,Derogenes varicus,55768,worm,Platyhelminthes,parasitic digenean,"Derogenes parvus, Fasciola varica","Moles, Heintz. 2007. PARASITES OF FORAGE FISHES IN THE VICINITY OF STELLER SEA LION (EUMETOPIAS JUBATUS) HABITAT IN ALASKA. Journal of Wildlife Diseases. ",done,Good host data for this species
Desmarestia,11314,Desmarestia,11314,Mediocre grazer data.,Desmarestia,11314,Desmarestia,11314,Desmarestia,11314,brown alga,Phaeophyta,seaweed,,Intertidal web,done,Subtidal kelp.
Detritus complex,san266,Detritus complex,san266,"Includes ""deposit complex""",Detritus complex,san266,Detritus complex,san266,Detritus complex,san266,detritus,basal,detritus/deposit,,Common sense.,done,
Diastylis bidentata,90839,Cumacea,90745,Too much predator data is lost by splitting - only 2 cumacean species in list anyway.,,drop,Cumacea,90745,,drop,cumacean,Arthropoda,cumacean,,NOAA World Ocean Database,done,Two low-resolution prey entries for a congener; no species-specific predator entries but fairly good data for this genus
Dictyocha fibula,1805,Chrysophyta,1447,No data for this species or genus or synonym; is included in Chrysophyta and there is no cost to lumping to Division vs. Family.,Chrysophyta,1447,Chrysophyta,1447,Chrysophyta,1447,phytoplankton,Chrysophyta,golden alga,,OBISGBIF,done,A few predator entries for congeners
Dinobryon petiolatum,1521,Chrysophyta,1447,No data for this species or genus or synonym; is included in Chrysophyta and there is no cost to lumping to Division vs. Family.,Chrysophyta,1447,Chrysophyta,1447,Chrysophyta,1447,phytoplankton,Chrysophyta,golden alga,Dinobryon faculiferum,NOAA World Ocean Database,done,No species-specific data but some prey and predator data for congeners
Dinophysis,9928,Dinophysis,9928,"Prey data is for non-local genera, but pretty good predator data for the genus",Dinophyceae,9874,Dinophysis,9928,Dinophyceae,9874,phytoplankton,Pyrrophycophyta,dinoflagellate,,OBISGBIF,done,A little prey data; fairly good predator data
Dipsacaster borealis,156885,,dropped,Insufficient data.,,dropped,,dropped,,dropped,star,Echinodermata,seastar,,OBISGBIF,done,No prey and one parasite listed for a congener
Discorsopagurus schmitti,97843,Paguridae,97774,"Not too much lost by lumping to family, and a lot of the pred entries are for Paguridae.",Paguridae,97774,Paguridae,97774,Paguridae,97774,crab,Arthropoda,crab,,OBISGBIF,done,A little low-resolution prey; no predator data for this species
Distaplia ,158875,Clavelinidae,158857,"Very little data for specific sessile tunicate species, but more predators listed for this class.",,drop,Clavelinidae,158857,,drop,tunicate,Chordata,tunicate,,OBISGBIF,done,One prey entry (plankton); one predator listed
Ditylum brightwellii,2928,Ditylum brightwellii,2928,All predator data is species-specific.,Bacillariophyta,2286,Ditylum brightwellii,2928,Bacillariophyta,2286,phytoplankton,Bacillariophyta,diatom,"Ditylum trigonum, Triceratium brightwellii",OBISGBIF,done,Several predators listed
Dynamene tuberculosa,544119,Sphaeromatidae,92283,Lumping to family adds lots of additional pred data.,Sphaeromatidae,92283,Sphaeromatidae,92283,Sphaeromatidae,92283,isopod,Arthropoda,isopod,,OBISGBIF,done,"No species-specific prey, but good data for two congeners; no predator data for this genus"
Echinarachnius parma,158016,Echinarachnius parma,158016,"All predator data is species-specific; prey data is not great (mostly lab stuff), but probably a couple good links (Pennales).",Echinarachnius parma,158016,Echinarachnius parma,158016,Echinarachnius parma,158016,dollar,Echinodermata,sand dollar,,OBISGBIF,done,A little species-specific prey data; some predator data
Echinorhynchus gadi,64279,Echinorhynchus gadi,64279,Some other species of this genus occur in freshwater so probably best to use only species-specific data.,Echinorhynchus gadi,64279,Echinorhynchus gadi,64279,Echinorhynchus gadi,64279,worm,Acanthocephala,parasitic acanthocephalan,,"Moles, Heifetz, Love. 1998. Metazoan parasites as potential markers for selected Gulf of Alaska rockfishes. ",done,Fair host data for this species and more for several congeners
Elassochirus cavimanus,97838,Paguridae,97774,"Not too much lost by lumping to family, and a lot of the pred entries are for Paguridae.",Paguridae,97774,Paguridae,97774,Paguridae,97774,crab,Arthropoda,crab,"Eupagurus cavimanus, Eupagurus gotoi, Eupagurus munitus, Pagurus munitus",OBISGBIF,done,"No species-specific prey but a few prey listed for congeners; no species-specific pred data but fairly good predator data for this genus; lots of additional pred and prey data for congeners of synonym Pagurus, but none for P. munitus"
Elassochirus gilli,97839,Paguridae,97774,"Not too much lost by lumping to family, and a lot of the pred entries are for Paguridae.",Paguridae,97774,Paguridae,97774,Paguridae,97774,crab,Arthropoda,crab,"Eupagurus porcellanus, Pagurus porcellanus",OBISGBIF,done,One species-specific prey (detritus); no species-specific predators but two predators listed for a few congeners
Elassochirus tenuimanus,97837,Paguridae,97774,"Not too much lost by lumping to family, and a lot of the pred entries are for Paguridae.",Paguridae,97774,Paguridae,97774,Paguridae,97774,crab,Arthropoda,crab,"Bernhardus tenuimanus, Eupagurus tenuimanus",OBISGBIF,done,One species-specific prey (mussel) and one more for a congener; two predators listed for this species and fairly good pred data for the genus; a little additional pred data for congener of synonym Eupagurus
